[HEADER]
FILE_VERSION;1
SITE;010000179B;FRA204
FOLDER;CVC - Z6 Caisses
LABEL;Temp. cons. froid
POINT_ID;CVC_Z6_TEMP_CONS_FROID
FREQUENCY;8
TIMEZONE;Europe/Paris
COMPRESSED;1
[DATA]
COLUMNS;CV
UNITS;°C
"2017-01-01 00:00:00";
"2017-03-21 23:50:00";
"2017-03-22 00:00:00";
"2017-06-09 23:50:00";
"2017-06-10 00:00:00";
"2017-08-28 23:50:00";
"2017-08-29 00:00:00";
"2017-10-10 15:30:00";26
"2017-10-25 00:00:00";
"2017-11-07 08:50:00";26
"2017-11-16 23:50:00";26
"2017-11-17 00:00:00";26
"2017-12-21 11:20:00";23
"2017-12-31 23:50:00";23
